9.216667,9.083333,8.95,8.7625,9.191667,9.0625,8.929167,9.25,9.166667,9.045833,8.895833,9.225,9.1375,9.016667,8.858333,9.195833,9.1125,8.995833,8.8125,9.175,9.091667,8.970833,8.783333,9.154167,9.070833,8.95,8.754167,9.129167,9.05,8.920833,9.229167,9.1,9.025,8.883333,9.2,9.079167,9.004167,8.845833,9.175,9.058333,8.983333,8.8125,9.154167,9.0375,8.966667,8.783333,9.129167,9.020833,8.941667,9.254167,9.1,8.995833,8.908333,9.220833,9.079167,8.975,8.866667,9.195833,9.058333,8.954167,8.8375,9.166667,9.0375,8.941667,8.808333,9.141667,9.016667,8.9125,9.279167,9.1125,8.9875,8.879167,9.245833,9.091667,8.966667,8.845833,9.216667,9.066667,8.945833,9.329167,9.191667,9.045833,8.929167,9.3,9.1625,9.020833,8.904167,9.2625
9.741667,9.604167,9.4625,9.275,9.716667,9.583333,9.4375,9.779167,9.691667,9.558333,9.404167,9.75,9.6625,9.533333,9.3625,9.720833,9.6375,9.508333,9.320833,9.7,9.6125,9.483333,9.2875,9.679167,9.591667,9.4625,9.254167,9.654167,9.570833,9.433333,9.754167,9.625,9.545833,9.391667,9.725,9.6,9.520833,9.358333,9.7,9.579167,9.5,9.320833,9.679167,9.558333,9.479167,9.2875,9.654167,9.5375,9.454167,9.783333,9.625,9.516667,9.416667,9.745833,9.6,9.491667,9.383333,9.720833,9.579167,9.470833,9.35,9.695833,9.558333,9.454167,9.320833,9.666667,9.5375,9.429167,9.8125,9.6375,9.508333,9.391667,9.770833,9.6125,9.483333,9.3625,9.745833,9.5875,9.466667,9.858333,9.716667,9.566667,9.445833,9.829167,9.6875,9.541667,9.425,9.791667
10.25417,10.1125,9.979167,9.804167,10.23333,10.09167,9.958333,10.29167,10.20417,10.07083,9.929167,10.26667,10.175,10.04583,9.891667,10.2375,10.14583,10.02083,9.85,10.2125,10.125,10,9.820833,10.19167,10.10417,9.979167,9.7875,10.16667,10.07917,9.954167,10.26667,10.1375,10.05417,9.920833,10.23333,10.1125,10.03333,9.883333,10.2125,10.09167,10.0125,9.854167,10.1875,10.075,9.995833,9.820833,10.1625,10.05,9.970833,10.29167,10.1375,10.025,9.941667,10.25,10.1125,10.00417,9.908333,10.225,10.09167,9.9875,9.879167,10.19583,10.07083,9.975,9.85,10.17083,10.05,9.95,10.32083,10.14167,10.02083,9.920833,10.28333,10.12083,10,9.8875,10.25,10.09583,9.983333,10.37083,10.22083,10.075,9.966667,10.34167,10.19167,10.05,9.945833,10.30417
10.78333,10.63333,10.49167,10.31667,10.75833,10.6125,10.46667,10.82083,10.72917,10.5875,10.44167,10.79583,10.7,10.5625,10.4,10.7625,10.67083,10.5375,10.3625,10.7375,10.64583,10.51667,10.32917,10.71667,10.625,10.49167,10.29583,10.69167,10.6,10.46667,10.79583,10.66667,10.575,10.42917,10.7625,10.6375,10.55,10.39583,10.7375,10.61667,10.52917,10.3625,10.7125,10.59583,10.50833,10.32917,10.69167,10.57083,10.48333,10.825,10.6625,10.54583,10.45,10.77917,10.6375,10.525,10.42083,10.75,10.61667,10.50833,10.39167,10.725,10.59583,10.4875,10.3625,10.69583,10.57083,10.46667,10.85417,10.67083,10.54583,10.43333,10.8125,10.64167,10.52083,10.40417,10.77917,10.62083,10.50417,10.90417,10.75,10.6,10.48333,10.87083,10.72083,10.57083,10.4625,10.83333
11.29583,11.14583,11.00417,10.84583,11.27083,11.12083,10.9875,11.3375,11.24167,11.1,10.95833,11.3125,11.2125,11.07083,10.925,11.28333,11.18333,11.04583,10.8875,11.25417,11.15833,11.025,10.85833,11.23333,11.13333,11.00833,10.82917,11.20417,11.10833,10.98333,11.30833,11.17917,11.08333,10.95,11.275,11.15,11.05833,10.91667,11.25,11.12917,11.04167,10.89167,11.225,11.10833,11.025,10.85833,11.2,11.08333,11,11.32917,11.175,11.05833,10.97083,11.2875,11.15,11.0375,10.94167,11.25833,11.12917,11.02083,10.91667,11.22917,11.10833,11.00417,10.8875,11.20417,11.08333,10.98333,11.3625,11.175,11.05417,10.95417,11.32083,11.15417,11.03333,10.925,11.2875,11.12917,11.01667,11.4125,11.25417,11.10833,11,11.3875,11.225,11.08333,10.97917,11.34583
11.825,11.66667,11.52083,11.3625,11.8,11.64167,11.49583,11.86667,11.77083,11.61667,11.47083,11.84167,11.7375,11.59167,11.4375,11.80833,11.70833,11.56667,11.4,11.77917,11.67917,11.54167,11.37083,11.75833,11.65833,11.52083,11.34167,11.73333,11.63333,11.49583,11.8375,11.70417,11.60417,11.4625,11.80417,11.675,11.57917,11.42917,11.775,11.65417,11.55833,11.4,11.75417,11.62917,11.5375,11.37083,11.72917,11.60833,11.5125,11.8625,11.7,11.57917,11.48333,11.81667,11.675,11.55833,11.45417,11.78333,11.65417,11.5375,11.42917,11.75833,11.63333,11.51667,11.4,11.72917,11.60417,11.5,11.89167,11.7,11.57917,11.46667,11.85,11.675,11.55417,11.44167,11.81667,11.65417,11.5375,11.9375,11.78333,11.63333,11.51667,11.9125,11.75417,11.60417,11.5,11.875
12.34167,12.175,12.03333,11.89167,12.3125,12.15,12.0125,12.3875,12.28333,12.125,11.98333,12.35833,12.25,12.09583,11.95417,12.32917,12.21667,12.075,11.92083,12.29583,12.19167,12.05417,11.89583,12.275,12.16667,12.03333,11.87083,12.24583,12.14167,12.00833,12.35417,12.22083,12.1125,11.97917,12.31667,12.19167,12.0875,11.95,12.2875,12.16667,12.06667,11.925,12.26667,12.14167,12.05,11.89583,12.24167,12.11667,12.025,12.37083,12.21667,12.0875,12,12.325,12.19167,12.06667,11.97083,12.29167,12.16667,12.05,11.95,12.2625,12.14583,12.03333,11.925,12.2375,12.11667,12.00833,12.4,12.2125,12.09167,11.98333,12.35833,12.1875,12.07083,11.95833,12.325,12.16667,12.05,12.45,12.2875,12.14167,12.03333,12.425,12.25833,12.11667,12.0125,12.3875
12.87083,12.7,12.55,12.40833,12.84167,12.675,12.525,12.9125,12.8125,12.65,12.5,12.8875,12.77917,12.62083,12.46667,12.85417,12.74167,12.59583,12.4375,12.825,12.71667,12.57083,12.4125,12.8,12.69167,12.55,12.3875,12.775,12.6625,12.52083,12.88333,12.74583,12.6375,12.49167,12.84583,12.71667,12.60833,12.4625,12.81667,12.69167,12.5875,12.4375,12.79583,12.66667,12.56667,12.40833,12.77083,12.64167,12.54167,12.9,12.74167,12.6125,12.5125,12.85417,12.7125,12.5875,12.4875,12.82083,12.69167,12.56667,12.4625,12.79583,12.67083,12.55,12.4375,12.76667,12.64167,12.525,12.925,12.7375,12.61667,12.5,12.8875,12.7125,12.59167,12.475,12.85417,12.6875,12.57083,12.97083,12.82083,12.66667,12.55,12.94583,12.7875,12.64167,12.52917,12.91667
13.38333,13.20833,13.05833,12.92917,13.35833,13.18333,13.0375,13.42917,13.325,13.15417,13.0125,13.40417,13.29167,13.125,12.98333,13.375,13.25417,13.1,12.95417,13.34167,13.225,13.07917,12.93333,13.31667,13.2,13.05833,12.90833,13.29167,13.17083,13.03333,13.4,13.2625,13.14167,13.00417,13.3625,13.22917,13.11667,12.975,13.33333,13.20417,13.09583,12.95417,13.3125,13.17917,13.075,12.92917,13.28333,13.15,13.05,13.40833,13.25833,13.12083,13.025,13.37083,13.22917,13.1,13,13.33333,13.20417,13.07917,12.97917,13.30417,13.18333,13.0625,12.95833,13.27917,13.15417,13.0375,13.43333,13.25,13.12917,13.0125,13.39583,13.225,13.10417,12.9875,13.3625,13.20417,13.08333,13.48333,13.32917,13.17917,13.0625,13.45833,13.29583,13.15417,13.04167,13.425
13.9125,13.73333,13.57917,13.45,13.88333,13.70833,13.55417,13.95,13.85833,13.67917,13.52917,13.92917,13.82083,13.65,13.5,13.9,13.78333,13.625,13.475,13.87083,13.75,13.6,13.45,13.84583,13.725,13.575,13.42917,13.82083,13.69583,13.55,13.92083,13.7875,13.66667,13.52083,13.8875,13.75417,13.64167,13.49167,13.8625,13.72917,13.61667,13.46667,13.84167,13.70417,13.59583,13.44167,13.81667,13.675,13.57083,13.92917,13.78333,13.64583,13.54167,13.89167,13.75417,13.62083,13.51667,13.8625,13.72917,13.6,13.49167,13.8375,13.70833,13.57917,13.46667,13.80833,13.68333,13.55417,13.95417,13.77917,13.65417,13.52917,13.92083,13.75,13.625,13.50417,13.8875,13.72917,13.60417,14,13.85833,13.70417,13.58333,13.975,13.82917,13.67917,13.5625,13.95
