S,betabeta,betamu,deviance,gamma,sd,sd2,sd3
-0.466742017,0.015280907,0.002043989,-2864.95842,0.615255088,0.200522812,0.000115428,0.068290025
-0.472860536,0.015799743,0.001989259,-2858.237512,0.599869938,0.20231251,0.000132959,0.073241733
-0.488265525,0.015128374,0.002000967,-2880.098954,0.618474688,0.20207531,0.000154861,0.072271313
-0.463002389,0.014329569,0.002061979,-2866.971363,0.612123458,0.200030001,0.000158585,0.073399546
-0.466555023,0.014723359,0.002057547,-2859.907051,0.616724851,0.199175001,0.000150597,0.067534014
-0.475695409,0.013786297,0.002082159,-2864.453975,0.600054343,0.203427853,0.00015281,0.05561477
-0.503114403,0.01498508,0.00202679,-2864.214638,0.611566171,0.201332268,0.000168405,0.053456122
-0.505985753,0.015091793,0.001984453,-2856.977062,0.616217877,0.200140292,0.000179398,0.054913835
-0.452931595,0.013633204,0.001971918,-2874.605038,0.593810513,0.202069357,0.000209862,0.078616285
-0.438432359,0.014187988,0.002001936,-2880.19506,0.603436219,0.202935915,0.000141966,0.075560542
-0.441010836,0.012940492,0.002021644,-2858.850481,0.613157909,0.204477089,0.000114107,0.068275627
-0.459419876,0.013435339,0.002050043,-2863.855965,0.62201339,0.199319739,0.000100407,0.061274481
-0.47656679,0.014807493,0.002048807,-2853.174069,0.620856568,0.199376012,9.86E-05,0.063780892
-0.467151194,0.01362757,0.002051826,-2862.597551,0.626049258,0.202852327,7.06E-05,0.067376428
-0.487657069,0.015175639,0.002082924,-2864.623238,0.615153524,0.203154167,6.48E-05,0.082578009
-0.462352323,0.014326524,0.002077682,-2862.929643,0.614892252,0.204104422,6.02E-05,0.058967308
-0.473259881,0.01435124,0.002049841,-2857.838589,0.626489982,0.204212543,5.57E-05,0.060719668
-0.472895814,0.016188534,0.002058895,-2866.182921,0.625711472,0.204095129,6.40E-05,0.069883602
-0.512867359,0.016641639,0.002062152,-2846.42835,0.62705605,0.199798073,6.03E-05,0.076970101
-0.494906312,0.015664388,0.002072202,-2861.830845,0.612661481,0.199928939,5.63E-05,0.081072969
-0.480457071,0.014818663,0.002077551,-2870.157185,0.606557901,0.203718732,5.90E-05,0.078941604
-0.479528014,0.014035239,0.002051312,-2866.094102,0.615521068,0.199252747,0.000101483,0.06491413
-0.42229446,0.010367593,0.002081859,-2863.392883,0.617307139,0.199831564,0.0001231,0.092168688
-0.483824891,0.014484213,0.002085342,-2868.827718,0.604795089,0.199414966,0.000135514,0.089964484
-0.460636347,0.011825199,0.002091787,-2870.808287,0.620553954,0.201061115,0.0001493,0.093499465
-0.470148234,0.014329684,0.002052529,-2867.700565,0.598328758,0.201195679,0.000152782,0.086540236
-0.455709665,0.014410149,0.002064846,-2868.138741,0.615032075,0.202309436,0.000153421,0.05932756
-0.474743219,0.015406704,0.002088964,-2853.327711,0.63218855,0.199288969,0.000141797,0.053800905
-0.480464369,0.014992946,0.002097702,-2864.279815,0.616895794,0.203710126,0.00012859,0.06805044
-0.465555592,0.01514291,0.0020043,-2872.705758,0.616687488,0.198120657,0.000159455,0.082698836
-0.441444575,0.01236309,0.002012734,-2863.473659,0.622266763,0.201647206,0.000168064,0.073839095
-0.426672154,0.013400244,0.002058552,-2874.106654,0.609418399,0.199211258,0.000188016,0.070107751
-0.48359289,0.014596116,0.001952263,-2875.936393,0.618617803,0.200919637,0.000191287,0.07864634
-0.446198548,0.014219371,0.002058133,-2869.26917,0.609221664,0.199805354,0.000222582,0.055222757
-0.501481817,0.015887416,0.002067768,-2878.270961,0.606533831,0.199588738,0.000199797,0.062279708
-0.484361349,0.01560316,0.002079071,-2886.090155,0.608655985,0.201508797,0.000195187,0.059224116
-0.440054043,0.013199165,0.002042253,-2887.315664,0.608673916,0.200738483,0.00027864,0.071381199
-0.496324416,0.016130346,0.002037921,-2884.963578,0.611263893,0.201098681,0.000257976,0.071847729
-0.508361949,0.016543804,0.001848931,-2874.646504,0.602474826,0.199010674,0.000277865,0.066728786
-0.5456832,0.018290279,0.001984129,-2870.197535,0.619437235,0.199522116,0.000309826,0.055511926
-0.488387944,0.015593361,0.00197459,-2878.431969,0.615831432,0.200602592,0.000243997,0.062381373
-0.471104997,0.015142887,0.002004918,-2854.061955,0.61380865,0.200762206,0.000244188,0.063327638
-0.460002089,0.013618599,0.002077371,-2866.400105,0.611672147,0.202027044,0.000252984,0.05816012
-0.43254876,0.012790403,0.002068985,-2869.36119,0.625033483,0.20012679,0.000237967,0.065121089
-0.428408392,0.012846773,0.00211912,-2861.827146,0.630474877,0.201499682,0.000251395,0.058649147
-0.449832577,0.014231894,0.002109233,-2874.67665,0.608240326,0.201990441,0.000206853,0.05928905
-0.422081184,0.013331406,0.002049739,-2859.457657,0.634609802,0.200139017,0.000187594,0.072055401
-0.498701067,0.016244176,0.002056699,-2878.38114,0.606951251,0.19894063,0.000211559,0.077914236
-0.462582627,0.013621483,0.00199997,-2878.645645,0.626471781,0.202818413,0.000184493,0.091824288
-0.495603734,0.017119231,0.001910549,-2862.354167,0.621640277,0.202815737,0.000199366,0.077758358
-0.476365158,0.015322185,0.001977691,-2867.40464,0.617191626,0.202089207,0.000260176,0.07191154
-0.406261239,0.012323624,0.001910432,-2863.921603,0.605898358,0.199976638,0.000232351,0.06709094
-0.471119561,0.015406613,0.001892233,-2861.752926,0.610816408,0.20261017,0.000260685,0.075240664
-0.445704957,0.014873867,0.001881572,-2868.218644,0.604293379,0.201518438,0.000230659,0.075642363
-0.501837305,0.016619986,0.001826302,-2860.518717,0.612562477,0.20060294,0.000220293,0.064993798
-0.493380253,0.016680778,0.001877373,-2862.444173,0.617445458,0.204336352,0.000216319,0.063975137
-0.423438885,0.012456911,0.001890691,-2876.137098,0.624611892,0.200961312,0.00023378,0.081419075
-0.450710078,0.015040114,0.001989529,-2878.959126,0.618201865,0.200579967,0.000289575,0.082135369
-0.488761039,0.017395004,0.001965825,-2881.902283,0.617099865,0.198830542,0.000263224,0.083955031
-0.488584949,0.01659932,0.00190759,-2865.187475,0.621911039,0.199127321,0.000261242,0.074240161
-0.503597361,0.017178008,0.001898748,-2857.970964,0.608989585,0.201923767,0.000222757,0.067191837
-0.462144473,0.015842468,0.001858387,-2872.815369,0.619299201,0.200220521,0.000290207,0.05171056
-0.450328205,0.015142959,0.001926844,-2874.565037,0.613741549,0.200038252,0.000275982,0.051615595
-0.489485868,0.016371697,0.001841458,-2860.130325,0.617424961,0.203327037,0.00031534,0.06037281
-0.484486602,0.01688236,0.001998018,-2874.150189,0.602525285,0.200708787,0.000296526,0.05912289
-0.504877403,0.017420226,0.002057126,-2875.635074,0.628164528,0.201753098,0.000282144,0.057598963
-0.509402008,0.017296345,0.00204477,-2856.971136,0.624213992,0.204370043,0.000274586,0.066974934
-0.475936053,0.014388752,0.002072333,-2876.531755,0.613199385,0.202361359,0.000262923,0.070041574
-0.459468691,0.01402701,0.00208445,-2884.51387,0.616528115,0.202119771,0.00021765,0.067219237
-0.460442153,0.015142229,0.002134124,-2874.585629,0.621073236,0.202530125,0.000263749,0.068524993
-0.442021883,0.013358621,0.002194406,-2865.820686,0.605226405,0.203913899,0.000237306,0.057199938
-0.479535353,0.01441312,0.002164742,-2864.006751,0.600821962,0.202602421,0.000216957,0.065123039
-0.49705604,0.014966023,0.002085021,-2875.379622,0.602785567,0.201370552,0.000212776,0.064865207
-0.481162907,0.015272874,0.002134548,-2878.51569,0.604930339,0.200958224,0.000193843,0.068698816
-0.446615644,0.012189134,0.002141532,-2866.694615,0.628337265,0.199019631,0.0001688,0.072313985
-0.455864493,0.014981644,0.002066324,-2864.054488,0.621481179,0.198750342,0.000208886,0.07090871
-0.469727546,0.014208707,0.002140969,-2867.159926,0.620652198,0.198701326,0.000237878,0.070548914
-0.482481531,0.015392418,0.002087086,-2862.104091,0.618104623,0.20050127,0.000266232,0.060411183
-0.504822134,0.015764167,0.002129666,-2848.302768,0.62903111,0.200296285,0.000293967,0.059860026
-0.473645112,0.015308295,0.002071316,-2872.010215,0.622653715,0.202168191,0.000228695,0.050615376
-0.468662742,0.01539535,0.002021113,-2868.134059,0.628320955,0.201124929,0.000242788,0.051103924
-0.467438332,0.015250266,0.002024292,-2859.008104,0.613716318,0.203314658,0.000224354,0.048609991
-0.461937297,0.015552608,0.001993189,-2871.466834,0.626522804,0.198970525,0.000261506,0.047164779
-0.459322214,0.015356583,0.001982998,-2848.518303,0.61244175,0.204285554,0.000281103,0.054530778
-0.414523508,0.011688488,0.001993668,-2868.531024,0.613398756,0.203677692,0.00027745,0.084656394
